City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Nikki,BJ,2020-11-23 17:19:25,9.94,3.21,85.84,26,40,1.61,scattered clouds
183,Banda Aceh,ID,2020-11-23 17:19:26,5.56,95.32,79.54,78,88,2.66,overcast clouds
184,Launceston,AU,2020-11-23 17:19:26,-41.45,147.17,55.4,82,90,1.12,overcast clouds
185,Kruisfontein,ZA,2020-11-23 17:19:26,-34.0,24.73,66.0,75,45,7.0,scattered clouds
186,Bambanglipuro,ID,2020-11-23 17:19:26,-7.95,110.28,78.87,86,100,3.24,moderate rain
187,Tiksi,RU,2020-11-23 17:19:26,71.69,128.87,-7.58,89,63,4.54,broken clouds
188,Lagoa,PT,2020-11-23 17:19:27,39.05,-27.98,61.39,75,13,10.76,few clouds
189,Boueni,YT,2020-11-23 17:19:27,-12.9,45.08,82.4,78,0,3.36,clear sky
190,Mana,GF,2020-11-23 17:19:27,5.66,-53.78,81.88,79,99,9.69,light rain
191,Ambon,ID,2020-11-23 17:15:50,-3.7,128.18,78.01,15,89,2.98,moderate rain
192,Saint George,US,2020-11-23 17:19:27,37.1,-113.58,44.6,39,1,2.89,clear sky
193,Mahebourg,MU,2020-11-23 17:19:27,-20.41,57.7,73.4,83,40,10.83,scattered clouds
194,Najran,SA,2020-11-23 17:19:09,17.49,44.13,69.8,32,0,3.49,clear sky
195,Port Blair,IN,2020-11-23 17:19:28,11.67,92.75,80.85,82,11,11.18,few clouds
196,San Cristobal,VE,2020-11-23 17:19:28,7.77,-72.22,87.8,52,40,5.82,scattered clouds
197,Oktyabrskiy,RU,2020-11-23 17:19:28,54.48,53.47,21.94,92,100,10.25,overcast clouds
198,Farah,AF,2020-11-23 17:19:28,32.5,62.5,47.25,52,80,1.5,broken clouds
199,Baruun-Urt,MN,2020-11-23 17:19:28,46.68,113.28,10.65,94,0,12.59,clear sky
200,Ondangwa,NA,2020-11-23 17:19:28,-17.92,15.95,100.4,12,69,8.05,broken clouds
201,Lasa,IT,2020-11-23 17:19:29,46.62,10.7,39.2,64,40,9.17,scattered clouds
